iter	Passed	Remaining
1065	4536	80579
1066	4540	80563
1067	4543	80544
1068	4551	80599
1069	4554	80580
1070	4558	80563
1071	4563	80570
1072	4567	80564
1073	4571	80555
1074	4575	80541
1075	4579	80544
1076	4585	80562
1077	4588	80543
1078	4591	80519
1079	4599	80572
1080	4602	80556
1081	4606	80538
1082	4610	80535
1083	4615	80534
1084	4618	80522
1085	4622	80501
1086	4625	80486
1087	4629	80478
1088	4634	80488
1089	4638	80473
1090	4644	80491
1091	4649	80504
1092	4652	80484
1093	4655	80461
1094	4662	80502
1095	4667	80504
1096	4670	80486
1097	4675	80496
1098	4680	80496
1099	4684	80480
1100	4687	80464
1101	4692	80472
1102	4696	80463
1103	4700	80446
1104	4703	80431
1105	4709	80450
1106	4715	80485
1107	4720	80482
1108	4727	80526
1109	4732	80532
1110	4737	80548
1111	4741	80537
1112	4746	80552
1113	4750	80541
1114	4755	80550
1115	4759	80541
1116	4763	80531
1117	4766	80510
1118	4773	80544
1119	4778	80545
1120	4781	80529
1121	4785	80525
1122	4792	80557
1123	4796	80551
1124	4799	80532
1125	4804	80533
1126	4808	80529
1127	4813	80531
1128	4816	80512
1129	4822	80527
1130	4826	80525
1131	4830	80511
1132	4834	80505
1133	4839	80508
1134	4842	80486
1135	4846	80476
1136	4850	80472
1137	4855	80480
1138	4858	80459
1139	4862	80440
1140	4865	80423
1141	4871	80440
1142	4874	80425
1143	4877	80400
1144	4881	80378
1145	4885	80383
1146	4891	80397
1147	4894	80373
1148	4899	80387
1149	4904	80391
1150	4908	80377
1151	4911	80365
1152	4918	80396
1153	4922	80389
1154	4926	80385
1155	4932	80411
1156	4937	80414
1157	4940	80394
1158	4943	80369
1159	4951	80411
1160	4954	80394
1161	4958	80379
1162	4961	80364
1163	4967	80390
1164	4971	80371
1165	4973	80340
1166	4976	80311
1167	4981	80318
1168	4984	80301
1169	4987	80274
1170	4990	80251
1171	4993	80227
1172	4998	80227
1173	5001	80201
1174	5004	80170
1175	5006	80138
1176	5009	80117
1177	5014	80125
1178	5017	80099
1179	5020	80068
1180	5022	80039
1181	5027	80033
1182	5031	80028
1183	5034	80002
1184	5036	79972
1185	5039	79941
1186	5043	79942
1187	5047	79928
1188	5050	79900
1189	5052	79870
1190	5055	79842
1191	5059	79834
1192	5063	79815
1193	5066	79795
1194	5069	79777
1195	5073	79762
1196	5077	79761
1197	5081	79743
1198	5084	79723
1199	5087	79700
1200	5092	79712
1201	5096	79711
1202	5100	79698
1203	5103	79673
1204	5109	79694
1205	5114	79698
1206	5117	79685
1207	5123	79695
1208	5127	79698
1209	5132	79698
1210	5137	79712
1211	5143	79726
1212	5147	79721
1213	5150	79700
1214	5157	79739
1215	5160	79721
1216	5164	79701
1217	5167	79677
1218	5173	79703
1219	5177	79699
1220	5181	79685
1221	5184	79662
1222	5187	79650
1223	5194	79676
1224	5197	79657
1225	5200	79639
1226	5204	79631
1227	5208	79613
1228	5211	79592
1229	5214	79571
1230	5219	79574
1231	5223	79569
1232	5226	79544
1233	5228	79512
1234	5231	79491
1235	5238	79527
1236	5241	79507
1237	5245	79491
1238	5248	79473
1239	5253	79480
1240	5257	79465
1241	5260	79447
1242	5263	79425
1243	5269	79446
1244	5274	79450
1245	5277	79431
1246	5280	79407
1247	5285	79419
1248	5289	79410
1249	5293	79398
1250	5297	79389
1251	5304	79438
1252	5308	79421
1253	5312	79410
1254	5317	79425
1255	5321	79417
1256	5325	79407
1257	5330	79411
1258	5335	79423
1259	5339	79410
1260	5342	79392
1261	5347	79394
1262	5351	79386
1263	5354	79368
1264	5357	79343
1265	5360	79321
1266	5366	79342
1267	5369	79318
1268	5372	79297
1269	5375	79273
1270	5380	79277
1271	5383	79260
1272	5386	79239
1273	5389	79216
1274	5392	79197
1275	5396	79193
1276	5400	79176
1277	5402	79149
1278	5405	79125
1279	5412	79155
1280	5415	79137
1281	5418	79113
1282	5421	79084
1283	5423	79059
1284	5433	79140
1285	5436	79114
1286	5439	79089
1287	5443	79085
1288	5446	79062
1289	5449	79046
1290	5454	79039
1291	5459	79059
1292	5464	79059
1293	5467	79040
1294	5471	79025
1295	5477	79050
1296	5480	79035
1297	5484	79016
1298	5487	78993
1299	5495	79047
1300	5501	79073
1301	5509	79120
1302	5513	79118
1303	5517	79110
1304	5521	79100
1305	5525	79097
1306	5529	79084
1307	5532	79068
1308	5536	79059
1309	5544	79100
1310	5548	79093
1311	5551	79081
1312	5559	79124
1313	5567	79180
1314	5576	79238
1315	5580	79222
1316	5583	79210
1317	5588	79214
1318	5593	79224
1319	5597	79214
1320	5600	79193
1321	5605	79204
1322	5609	79190
1323	5612	79168
1324	5615	79140
1325	5618	79118
1326	5623	79132
1327	5626	79116
1328	5629	79095
1329	5632	79066
1330	5637	79072
1331	5640	79057
1332	5643	79032
1333	5646	79005
1334	5649	78984
1335	5652	78971
1336	5655	78945
1337	5659	78933
1338	5662	78920
1339	5666	78904
1340	5670	78898
1341	5673	78879
1342	5676	78852
1343	5678	78825
1344	5681	78807
1345	5686	78810
1346	5689	78785
1347	5691	78755
1348	5695	78748
1349	5702	78772
1350	5705	78754
1351	5708	78733
1352	5711	78714
1353	5715	78709
1354	5719	78706
1355	5722	78686
1356	5725	78659
1357	5728	78633
1358	5733	78648
1359	5736	78627
1360	5739	78602
1361	5742	78575
1362	5745	78556
1363	5750	78565
1364	5753	78550
1365	5756	78529
1366	5759	78502
1367	5763	78495
1368	5767	78485
1369	5769	78460
1370	5772	78434
1371	5774	78407
1372	5777	78385
1373	5782	78389
1374	5785	78364
1375	5787	78337
1376	5790	78310
1377	5793	78289
1378	5798	78292
1379	5801	78273
1380	5803	78245
1381	5806	78219
1382	5809	78199
1383	5814	78206
1384	5817	78183
1385	5819	78158
1386	5822	78131
1387	5824	78105
1388	5829	78111
1389	5832	78088
1390	5835	78062
1391	5837	78036
1392	5840	78019
1393	5845	78015
1394	5848	77995
1395	5851	77974
1396	5853	77954
1397	5857	77938
1398	5861	77929
1399	5864	77911
1400	5867	77891
1401	5870	77870
1402	5875	77877
1403	5878	77862
1404	5881	77840
1405	5884	77817
1406	5886	77789
1407	5891	77792
1408	5895	77782
1409	5898	77771
1410	5901	77747
1411	5909	77794
1412	5913	77786
1413	5916	77764
1414	5918	77739
1415	5923	77741
1416	5927	77731
1417	5929	77708
1418	5932	77682
1419	5936	77674
1420	5940	77675
1421	5944	77661
1422	5947	77641
1423	5951	77642
1424	5958	77669
1425	5962	77659
1426	5966	77655
1427	5973	77685
1428	5977	77681
1429	5981	77674
1430	5985	77667
1431	5991	77687
1432	5996	77689
1433	6003	77730
1434	6008	77728
1435	6011	77719
1436	6015	77709
1437	6021	77727
1438	6025	77725
1439	6029	77715
1440	6037	77754
1441	6042	77759
1442	6046	77757
1443	6052	77777
1444	6057	77782
1445	6061	77773
1446	6064	77762
1447	6069	77768
1448	6073	77760
1449	6077	77749
1450	6081	77743
1451	6089	77791
1452	6095	77810
1453	6101	77821
1454	6106	77836
1455	6115	77884
1456	6121	77904
1457	6126	77912
1458	6134	77961
1459	6139	77967
1460	6144	77963
1461	6150	77993
1462	6154	77986
1463	6158	77978
1464	6163	77980
1465	6168	77987
1466	6172	77979
1467	6176	77971
1468	6182	77992
1469	6186	77987
1470	6190	77977
1471	6195	77982
1472	6201	77999
1473	6205	77990
1474	6209	77985
1475	6214	77995
1476	6218	77986
1477	6222	77974
1478	6226	77975
1479	6231	77980
1480	6236	77986
1481	6240	77980
1482	6247	78011
1483	6251	77998
1484	6254	77983
1485	6258	77977
1486	6263	77978
1487	6267	77970
1488	6271	77960
1489	6276	77968
1490	6281	77971
1491	6285	77970
1492	6290	77981
1493	6295	77984
1494	6299	77979
1495	6307	78018
1496	6314	78043
1497	6317	78034
1498	6322	78033
1499	6328	78054
1500	6333	78058
1501	6339	78072
1502	6344	78075
1503	6349	78079
1504	6356	78119
1505	6362	78138
1506	6367	78133
1507	6372	78146
1508	6379	78168
1509	6383	78163
1510	6388	78170
1511	6393	78175
1512	6397	78165
1513	6400	78154
1514	6408	78194
1515	6412	78185
1516	6416	78175
1517	6423	78206
1518	6428	78209
1519	6432	78205
1520	6438	78218
1521	6442	78214
1522	6446	78210
1523	6452	78220
1524	6456	78220
1525	6460	78209
1526	6464	78201
1527	6469	78208
1528	6474	78209
1529	6477	78200
1530	6486	78243
1531	6492	78264
1532	6497	78266
1533	6502	78276
1534	6508	78292
1535	6512	78289
1536	6518	78300
1537	6523	78305
1538	6528	78310
1539	6534	78325
1540	6538	78319
1541	6541	78308
1542	6546	78302
1543	6550	78298
1544	6554	78295
1545	6558	78285
1546	6562	78278
1547	6567	78285
1548	6571	78278
1549	6575	78264
1550	6581	78282
1551	6586	78290
1552	6590	78284
1553	6596	78297
1554	6600	78297
1555	6604	78283
1556	6607	78273
1557	6613	78287
1558	6619	78298
1559	6623	78293
1560	6630	78321
1561	6635	78323
1562	6639	78318
1563	6645	78338
1564	6650	78337
1565	6654	78331
1566	6659	78334
1567	6666	78363
1568	6670	78358
1569	6676	78375
1570	6683	78399
1571	6687	78396
1572	6693	78408
1573	6698	78418
1574	6702	78412
1575	6709	78436
1576	6715	78449
1577	6720	78457
1578	6726	78471
1579	6732	78490
1580	6742	78546
1581	6748	78563
1582	6752	78562
1583	6758	78574
1584	6764	78592
1585	6768	78580
1586	6775	78609
1587	6779	78609
1588	6783	78600
1589	6791	78637
1590	6796	78642
1591	6801	78641
1592	6806	78650
1593	6814	78692
1594	6820	78698
1595	6825	78703
1596	6830	78707
1597	6836	78732
1598	6843	78752
1599	6849	78773
1600	6855	78789
1601	6863	78821
1602	6869	78843
1603	6876	78861
1604	6883	78895
1605	6890	78923
1606	6896	78932
1607	6902	78951
1608	6908	78960
1609	6913	78965
1610	6919	78982
1611	6925	78996
1612	6930	79003
1613	6938	79037
1614	6944	79060
1615	6952	79097
1616	6964	79171
1617	6973	79228
1618	6979	79235
1619	6984	79241
1620	6990	79256
1621	6995	79258
1622	7003	79302
1623	7009	79316
1624	7015	79324
1625	7021	79340
1626	7025	79339
1627	7031	79351
1628	7036	79351
1629	7047	79421
1630	7052	79433
1631	7056	79424
1632	7061	79425
1633	7068	79448
1634	7072	79444
1635	7076	79437
1636	7083	79456
1637	7088	79461
1638	7092	79456
1639	7098	79466
1640	7103	79472
1641	7107	79459
1642	7112	79470
1643	7119	79497
1644	7124	79490
1645	7129	79495
1646	7133	79489
1647	7137	79481
1648	7142	79481
1649	7146	79478
1650	7150	79472
1651	7154	79461
1652	7160	79477
1653	7165	79482
1654	7170	79476
1655	7179	79524
1656	7184	79535
1657	7188	79528
1658	7193	79530
1659	7200	79550
1660	7204	79543
1661	7213	79592
1662	7218	79590
1663	7225	79616
1664	7231	79628
1665	7235	79623
1666	7242	79646
1667	7248	79661
1668	7252	79652
1669	7258	79670
1670	7263	79674
1671	7268	79676
1672	7275	79698
1673	7280	79707
1674	7288	79739
1675	7294	79754
1676	7301	79780
1677	7306	79781
1678	7310	79773
1679	7314	79765
1680	7320	79776
1681	7325	79775
1682	7330	79780
1683	7337	79808
1684	7343	79814
